Fullname	CCY	Last	+/-	%	Bid	Ask	Volume	Turnover	Updated (CET)
Oculis Holding	ISK	3,440.00							00:00:00
OEM International B	SEK	148.40	-1.40	-0.93%	148.40	150.00	982	146,583	09:20:02
Olvi Oyj A	EUR	31.25	+0.05	+0.16%	31.15	31.40	233	7,279	09:25:31
Oma Säästöpankki Oyj	EUR	11.76	-0.02	-0.16%	11.68	11.78	504	5,902	09:25:58
Oncopeptides	SEK	1.973	+0.021	+1.07%	1.964	1.979	2,582,012	5,129,613	09:26:36
Optomed Oyj	EUR	1.488	-0.002	-0.13%	1.482	1.51	9,265	13,826	09:25:33
Oriola Oyj	EUR	0.889	-0.009	-1.00%	0.892	0.898	42,977	38,398	09:25:56
Orrön Energy	SEK	9.53	-0.11	-1.14%	9.52	9.60	58,559	560,931	09:26:07
Outokumpu Oyj	EUR	5.62	-0.04	-0.70%	5.615	5.625	66,638	374,164	09:25:46
Ovzon	SEK	64.30	+1.50	+2.38%	64.10	64.30	166,450	10,598,959	09:26:14
Pandox B	SEK	181.00	-0.20	-0.11%	180.60	181.00	1,426	257,707	09:26:24
Peab B	SEK	87.65	-0.25	-0.28%	87.60	87.75	5,902	518,332	09:25:54
Per Aarsleff Holding B	DKK	740.00	+1.00	+0.13%	737.00	741.00	496	367,055	09:20:08
Pierce Group	SEK	9.20	-0.16	-1.70%	9.17	9.27	6,606	60,775	09:26:07
Pihlajalinna Oyj	EUR	11.08	-0.06	-0.53%	11.06	11.18	942	10,468	09:21:50
Platzer Fastigheter Holding B	SEK	73.00	-0.40	-0.54%	73.00	73.30	7,460	546,375	09:26:17
Ponsse Oyj 1	EUR	22.50	+0.20	+0.89%	22.40	22.80	888	19,921	09:17:08
Posti Group	EUR	9.03	+0.10	+1.11%	9.00	9.03	2,804	25,172	09:26:32
PowerCell Sweden	SEK	25.36	+0.10	+0.39%	25.40	25.48	9,601	243,121	09:26:12
Precise Biometrics	SEK	1.696	-0.002	-0.11%	1.676	1.696	13,002	22,084	09:23:07
Prevas B	SEK	80.00	0.00	0.00%	79.90	80.40	100	8,020	09:24:55
Pricer B	SEK	3.655	-0.025	-0.67%	3.655	3.68	4,407	16,104	09:22:52
Prisma Properties	SEK	25.70			25.70	25.80			09:16:09
Proact IT Group	SEK	131.60	-0.40	-0.30%	131.00	131.60	6,174	808,604	09:25:08
Puuilo Oyj	EUR	13.00	+0.06	+0.46%	12.98	13.02	7,672	99,386	09:25:48
Q-Linea	SEK	17.85	+0.50	+2.88%	17.40	17.85	67	1,188	09:19:21
Qt Group Oyj	EUR	27.02	+0.32	+1.19%	26.96	27.02	20,609	553,383	09:25:38
Raisio Oyj Vaihto-osake	EUR	2.56	-0.025	-0.96%	2.56	2.58	3,249	8,410	09:24:52
Ratos B	SEK	34.32	-0.06	-0.17%	34.26	34.34	11,771	403,631	09:26:28
RaySearch Laboratories B	SEK	203.20	+3.20	+1.60%	203.00	203.40	13,195	2,673,072	09:26:36
Reitir fasteignafélag	ISK	114.00							00:00:00
Rejlers B	SEK	158.60	-0.40	-0.25%	158.60	159.20	1,665	265,239	09:25:59
Relais Group Oyj	EUR	15.10	-0.10	-0.65%	15.10	15.30	51	770	09:24:09
Remedy Entertainment Oyj	EUR	14.72	+0.52	+3.66%	14.72	14.78	938	13,641	09:25:27
